property_revision_id,case_count,property,property_label,property_description,author,repair_id_example,report_violation_type,changed_constraint_types,hash_before,hash_after,before_constraint_count,after_constraint_count
2317303689,20894,P481,Palissy ID,identifier in the Palissy database of moveable objects of French cultural heritage,Bob08,reform_Q29119899_P481_2317303689,Item P|136,[],a3523d7d6eee6283d4c053d612aaaf96b123f92f,d27719909da0f0b271e813a62de14c170498c5b5,22,22
2402814023,11975,P18,image,"image of relevant illustration of the subject; if available, also use more specific properties (sample: coat of arms image, locator map, flag image, signature image, logo image, collage image)",Trade,reform_Q3826846_P18_2402814023,Allowed qualifiers,"[""Q52558054""]",e3303e74183b70ca25ccbb0c41b3be659021a3b8,17cae97285ddfcaff28dd6eafd2b6674886a02b7,20,21
2393757166,11895,P18,image,"image of relevant illustration of the subject; if available, also use more specific properties (sample: coat of arms image, locator map, flag image, signature image, logo image, collage image)",Verdy p,reform_Q9902_P18_2393757166,Single value,[],939de6ad1bd17bae20218d86952ce698c42403a1,e3303e74183b70ca25ccbb0c41b3be659021a3b8,20,20
2317147423,11619,P268,Bibliothèque nationale de France ID,"identifier for the subject issued by BNF (Bibliothèque nationale de France). Format: 8 digits followed by a check-digit or letter, do not include the initial 'cb'.",Bob08,reform_Q2343934_P268_2317147423,Single value,[],269624518af3776a28b6230aaa0646794c944bcd,e854bde0be5386ff5bb156ff6021a0a807a81ca2,8,8
1687213130,11186,P242,locator map image,geographic map image which highlights the location of the subject within some larger entity,عُثمان,reform_Q300446_P242_1687213130,Unique value,[],69bc2e802f252f396bfac375980dad4b68acfad6,b10e15e88aead4e1ff900d2102ae20739fac1392,6,6
2254793027,10457,P166,award received,"award or recognition received by a person, organization or creative work",عُثمان,reform_Q7343484_P166_2254793027,None of,[],74a153b04c2c54f8592801c6187afd44d4d41016,dd3141826e6c4ed30fee5d8ea1843f38a994a620,8,8
2351781179,9997,P2605,ČSFD person ID,identifier for a person in the Czecho-Slovak film database ČSFD,Bob08,reform_Q357608_P2605_2351781179,Label in sk language,[],b5f088ca450c371c9de6d5744c70137a2b109a55,6b49361205443eb211e135ed7d47b00bd7c60831,10,10
1029122128,9924,P3382,GeneDB ID,gene identifier in GeneDB,Magnus Manske,reform_Q18970327_P3382_1029122128,Format,[],1b3e2b6e6a6f6001905f5674afe76d7a59c3c7ee,958df956f95fc2a2c12e5bde5dd1fb0970658210,2,1
2330325818,9496,P950,National Library of Spain SpMaBN ID (BNE v1.0),"semi-deprecated control number of the National Library of Spain catalog powered by Symphony. Format for persons: ""XX"" followed by 4 to 7 digits. (Formerly referred to in VIAF as BNE)",Clemens Dulcis,reform_Q108865583_P950_2330325818,Label in es language,[],ad05bc98d9f3163d93bc5f8c3a10437cd670b7fb,c8aebb3da292eb308069209acd9c783c2e9a4727,7,7
1858269104,9011,P140,religion or worldview,"religion of a person, organization or religious building, or associated with this subject",عُثمان,reform_Q20733430_P140_1858269104,"Value type Q|71966963, Q|4392985, Q|1530022, Q|16334295, Q|17364638, Q|211606",[],76a46513d7cd812bbd1598a668bf57ca51785c36,9350eb1efaf050760d7a6f09673cbcca6d90d25d,9,9
2407207080,8429,P1006,Nationale Thesaurus voor Auteursnamen ID,identifier for person names (not: works nor organisations) from the Dutch National Thesaurus for Author names (which also contains non-authors),Bob08,reform_Q8864610_P1006_2407207080,Label in nl language,[],e6f32c2b74e15e9b6a4698544e055002e406667b,ca030620ee7d5efdf9d65fc7e808ef7ff585b341,8,8
722137891,7779,P645,genomic end,genomic ending coordinate of the biological sequence (e.g. a gene),Gstupp,reform_Q18065630_P645_722137891,Unique value,"[""Q21502410""]",97813988f422efc68c9bff27622943dfd33a7231,9fbdde8c58abe755c816c729db15161e3f563dea,3,2
690339121,7757,P645,genomic end,genomic ending coordinate of the biological sequence (e.g. a gene),QuickStatementsBot,reform_Q24418667_P645_690339121,Unique value,"[""Q21528958""]",fd197730e586961a387a16b4bf8878aa303c20ab,2ec6011b3b97ebbc0aa1aee83187e00bc604b708,3,4
2439061952,7467,P7937,form of creative work,structure of a creative work,Bodhisattwa,reform_Q18849598_P7937_2439061952,"Type Q|386724, Q|17489659, Q|15306849",[],c8fc5ee369daecd23e0417ca84d82310c44a0694,b0db476d3f8ebb866bc1d80caa20916de63ed409,16,16
1580835843,7314,P1346,winner,"winner of a competition or similar event, not to be used from the awardees record (instead use ""award received"" (P166), possibly qualified with ""for work"" (P1686)) nor for wars or battles",Valentina.Anitnelav,reform_Q4014144_P1346_1580835843,Single value,[],47f2262ab5ac29f87f1c5b2e322a6e4ab9e713f6,2db6a4e2ce016c3d9aa35fac1c48197dc8365138,7,7
722137948,7222,P644,genomic start,genomic starting coordinate of the biological sequence (e.g. a gene),Gstupp,reform_Q23339195_P644_722137948,Unique value,"[""Q21502410""]",97813988f422efc68c9bff27622943dfd33a7231,9fbdde8c58abe755c816c729db15161e3f563dea,3,2
2040528587,7049,P6597,DFD ID,ID of corresponding entry in the DFD online dictionary of family names,Nikki,reform_Q122835561_P6597_2040528587,Label in de language,[],077995b0705d0cd9e93a85d257d18baf836c2888,8901b5ad38dd448c8371c1ec9b6a8dc79d75ba9a,15,15
2252283680,7033,P1782,courtesy name,"name bestowed upon a person at adulthood in addition to one's given name, mostly in East Asia",Miyakoo,reform_Q10920862_P1782_2252283680,Label in vi language,[],4eb17ff4cf5f215c3d3026d2794c774a6812ce63,bfbe5698242757ff9135432eee84bb15116b1eda,8,7
696618533,6951,P644,genomic start,genomic starting coordinate of the biological sequence (e.g. a gene),MisterSynergy,reform_Q23330626_P644_696618533,Unique value,[],2ec6011b3b97ebbc0aa1aee83187e00bc604b708,68f5deeea79253a19a40179a82c21dac2748e4cc,4,4
690339109,6947,P644,genomic start,genomic starting coordinate of the biological sequence (e.g. a gene),QuickStatementsBot,reform_Q18035078_P644_690339109,Unique value,"[""Q21528958""]",fd197730e586961a387a16b4bf8878aa303c20ab,2ec6011b3b97ebbc0aa1aee83187e00bc604b708,3,4
1713429147,6919,P1651,YouTube video ID,"identifier of a video on YouTube; qualify trailers with ""object has role"" (P3831)=""trailer"" (Q622550). For channels, use P2397; for playlists, use P4300",عُثمان,reform_Q1226153_P1651_1713429147,Conflicts with P|31,[],50050b69da6f8af684b4377d80544ccb5dbb5856,221b41d9be851911e55266bf4ecb9a6ea0778332,7,8
2317152167,6861,P640,Léonore ID,identifier of a person in the Léonore database,Bob08,reform_Q124970155_P640_2317152167,Item P|19,[],b59dc677f5719e4088c2bfd0b02d669c53b06638,b3fce829a0d59e3f6b3d66ff8be02ec76d0eb344,13,13
696618524,6793,P645,genomic end,genomic ending coordinate of the biological sequence (e.g. a gene),MisterSynergy,reform_Q23111464_P645_696618524,Unique value,[],2ec6011b3b97ebbc0aa1aee83187e00bc604b708,68f5deeea79253a19a40179a82c21dac2748e4cc,4,4
1695570929,6630,P2440,transliteration or transcription,conversion of text to alternate script (use as a qualifier for monolingual text statements; please use specific property if possible),عُثمان,reform_Q18250113_P2440_1695570929,Mandatory Qualifiers,[],c070f880066096d1b80b62193b70ee20257c2e93,fb47ab16c6cc776f3f9035247d6ca1a05b92022c,5,6
2356390580,6546,P400,platform,"platform for which a work was developed or released, or the specific platform version of a software product",Trade,reform_Q134586616_P400_2356390580,None of,[],2a9a8192bbb1e51c571b94c0ccda6b8a1c18bda9,4c688d9e9946021f54ff2d42e6a2a03a85f4936d,27,27
2404580674,6351,P5476,LegaBasket.it player ID,identifier for a player at legabasket.it,HanTsî,reform_Q136242208_P5476_2404580674,Label in it language,[],5cc977fbce90260ecd9110c86fb9463f41dbf973,75b0db8f8032912aa5fc54b40723c93a89e90134,10,10
2333296438,5738,P2092,Bildindex der Kunst und Architektur ID,identifier for an artwork in Bildindex,Bob08,reform_Q1197913_P2092_2333296438,Single value,[],b57bdb6c6241468d8e5dc6d0d7cd3d4e3cdc0bd1,7000ebf81f03d2f0a6320e389cfb48adf76c1575,18,18
2329221897,5692,P1368,National Library of Latvia ID,identifier assigned by the National Library of Latvia,Clemens Dulcis,reform_Q437184_P1368_2329221897,Label in lv language,[],671e3f896806eb9137e42ad4140cdb4be1045273,02ceb678353ed5397e2ec00aff1e4e278c47158a,6,6
1725922197,5600,P2521,female form of label,female form of name or title (for male use P3321),عُثمان,reform_Q19361455_P2521_1725922197,Item P|3321,[],42e4e2c51d366fbf19084c4ab0a0759e9306eafa,f0cc45546da8768eeffa00936c0e3a553c2aca4b,6,6
2381040789,5509,P3370,Géopatronyme ID,identifier of a family name in the Géopatronyme database,Bob08,reform_Q16876630_P3370_2381040789,Label in fr language,[],f73fb2730890d18e62940a08df33891e25e44b28,9e4d646f6a49beb224ada7aa869917b01e98b6a8,11,11
2418670693,5412,P4381,Soccerdonna player ID,identifier for a female association football player on the Soccerdonna website,Bob08,reform_Q38276488_P4381_2418670693,Label in de language,[],51c8fe96791b3fc7bdf0765575b402b7f800a774,36446331d6f26d85ba2b632d073c6a1b8d8e60e1,11,11
2370378152,5253,P460,said to be the same as,"this item is said to be the same as that item, though this may be uncertain or disputed",BartoszKonkol,reform_Q14905275_P460_2370378152,Symmetric,[],63ec28788f858b191c2de6aa87daf10d92774325,f8da69f23020a582d5b2921180a7cd56f95a6420,4,4
2172698999,5228,P4529,Douban film ID,identifier for a film (movie) or TV series at the website Douban,Kethyga,reform_Q1139246_P4529_2172698999,Label in zh language,[],7fdb89b49696dbda0be5e3ba1f0c873d49c9279e,a06f4e4b0c9b11a2ff0c21204efa3a4140691084,8,8
2387684055,5152,P480,FilmAffinity film ID,FilmAffinity identification number of a creative work,Bob08,reform_Q23805572_P480_2387684055,Label in es language,[],e3116722bbdf822d0bbad4afa7856dc5d6e65eff,4418d8d45d4f6e68ddfa5418fa06fcb947c420dc,10,10
2099260170,5126,P6258,declination,astronomical equivalent of latitude,Sergey kudryavtsev,reform_Q83481187_P6258_2099260170,Single value,[],7463aab151629fe629a495a0a33f8313a71c4027,71a5c42e08a6981ac8ca71bb4ab7ac260dcb37d2,6,7
2099257206,5022,P6257,right ascension,astronomical equivalent of longitude,Sergey kudryavtsev,reform_Q78395646_P6257_2099257206,Single value,[],a8af56beb8ec3ec5484e8ea4217e43c9638a7b38,53c5c0a2b412e8ee4db237e03388188bcda0ec8a,7,8
1751255376,5005,P9559,Sigla ID,persistent identifier of Czech libraries,Vojtěch Dostál,reform_Q114623419_P9559_1751255376,Unique value,[],4c679cf431eca53a4e908793ca0c592caa61c6a6,60692028ddd3567752cb63c98c6b958095dec70a,7,7
2445366058,4999,P7261,use restriction status,"status of any use restrictions on the object, collection, or materials",Circeus,reform_Q63915783_P7261_2445366058,One of,[],e13ff3761520c5d4cbad4468212fa1789b8234ee,4eec49ccad2fdaa504edf86eae52d6e55978ea5c,3,3
2143686910,4998,P1140,EHAK id,Estonian Administrative and Settlement Classification,Multichill,reform_Q3465270_P1140_2143686910,Item P|402,[],998212a1310c333c7698db506f240192542fbae2,4c32de52dbcc29eb836647c10cfc7cbe34744772,6,7
2447249541,4996,P356,DOI,serial code used to uniquely identify digital objects like academic papers (use upper case letters only),Aceehinrt,reform_Q55238659_P356_2447249541,Format,[],d031ea02a7b0db039216fefe8f4327579c311afd,5cf55bb7e171e2d1e14836aae52873a6c022631b,15,14
975401208,4989,P6933,SA Flora ID,"identifier for a plant taxon, in the Australian 'South Australian electronic Flora' database",Steak,reform_Q10305266_P6933_975401208,Format,[],a5fa43507319ccd3fbd68a3f6485efaec87a31fe,8bb6e45ce88aada1b89d000afe339c91cb7ab9e5,3,3
990960789,4959,P3382,GeneDB ID,gene identifier in GeneDB,SCIdude,reform_Q59866848_P3382_990960789,Format,[],3d9e1d35a0b39ce13f1b6b59b58005e714ca6bde,eae1dfb4df63288f0ef9169880aeeebce8d6d414,1,1
2408609469,4670,P5045,number of blank votes,number of blank votes in a voting round for a specific position in a election,C960657,reform_Q105516092_P5045_2408609469,Type Q|189760,[],40915a8ed347af1c25cb3648f57dd98582ba23e2,120ce5746b7c6d0ba5952c8c8fd6db150c0474f6,7,7
