case_id,qid,property,track,class,subtype,confidence,selection_stratum,analysis_slice,main_score,diagnostic_only,popularity_bucket,constraint_family,truth_source,truth_token_kind,truth_tokens_preview,decision_branch,local_match_kind,local_match_source,tbox_revision_key,group_key,repair_locus_correct,historical_target_well_defined,target_visible_locally,extractor_missed_local_evidence,external_evidence_required,typec_judgment,typea_judgment,typeb_judgment,tbox_judgment,core_recommendation,notes,annotator_id,annotation_timestamp_utc
reform_Q117538666_P2092_2333296438,Q117538666,P2092,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,mid,Q21502404,none_expected,none_expected,[],,,,TBOX::P2092::2333296438,TBOX::P2092::2333296438,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q29119733_P481_2317303689,Q29119733,P481,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,tail,Q21502404,none_expected,none_expected,[],,,,TBOX::P481::2317303689,TBOX::P481::2317303689,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q12471498_P1006_2407207080,Q12471498,P1006,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,head,Q21502404,none_expected,none_expected,[],,,,TBOX::P1006::2407207080,TBOX::P1006::2407207080,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q123121331_P9058_2216480186,Q123121331,P9058,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,mid,Q21503250,none_expected,none_expected,[],,,,TBOX::P9058::2216480186,TBOX::P9058::2216480186,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q125409551_P2092_2333296438,Q125409551,P2092,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,mid,Q21502404,none_expected,none_expected,[],,,,TBOX::P2092::2333296438,TBOX::P2092::2333296438,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q50320262_P640_2317152167,Q50320262,P640,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,mid,Q19474404,none_expected,none_expected,[],,,,TBOX::P640::2317152167,TBOX::P640::2317152167,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q5868731_P640_2317152167,Q5868731,P640,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,mid,Q19474404,none_expected,none_expected,[],,,,TBOX::P640::2317152167,TBOX::P640::2317152167,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q29117147_P481_2317303689,Q29117147,P481,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,tail,Q21502404,none_expected,none_expected,[],,,,TBOX::P481::2317303689,TBOX::P481::2317303689,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q12484651_P1006_2407207080,Q12484651,P1006,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,mid,Q21502404,none_expected,none_expected,[],,,,TBOX::P1006::2407207080,TBOX::P1006::2407207080,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q11718001_P1006_2407207080,Q11718001,P1006,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,mid,Q21502404,none_expected,none_expected,[],,,,TBOX::P1006::2407207080,TBOX::P1006::2407207080,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q29127534_P481_2317303689,Q29127534,P481,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,tail,Q21502404,none_expected,none_expected,[],,,,TBOX::P481::2317303689,TBOX::P481::2317303689,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q105525614_P409_2329789991,Q105525614,P409,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,TRUE,FALSE,mid,Q21502404,none_expected,none_expected,[],,,,TBOX::P409::2329789991,TBOX::P409::2329789991,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
