case_id,qid,property,track,class,subtype,confidence,selection_stratum,analysis_slice,main_score,diagnostic_only,popularity_bucket,constraint_family,truth_source,truth_token_kind,truth_tokens_preview,decision_branch,local_match_kind,local_match_source,tbox_revision_key,group_key,repair_locus_correct,historical_target_well_defined,target_visible_locally,extractor_missed_local_evidence,external_evidence_required,typec_judgment,typea_judgment,typeb_judgment,tbox_judgment,core_recommendation,notes,annotator_id,annotation_timestamp_utc
reform_Q117538666_P2092_2333296438,Q117538666,P2092,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,True,False,mid,Q21502404,none_expected,none_expected,[],,,,TBOX::P2092::2333296438,TBOX::P2092::2333296438,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q29119733_P481_2317303689,Q29119733,P481,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,True,False,tail,Q21502404,none_expected,none_expected,[],,,,TBOX::P481::2317303689,TBOX::P481::2317303689,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q12471498_P1006_2407207080,Q12471498,P1006,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,True,False,head,Q21502404,none_expected,none_expected,[],,,,TBOX::P1006::2407207080,TBOX::P1006::2407207080,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q123121331_P9058_2216480186,Q123121331,P9058,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,True,False,mid,Q21503250,none_expected,none_expected,[],,,,TBOX::P9058::2216480186,TBOX::P9058::2216480186,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q29117147_P481_2317303689,Q29117147,P481,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,True,False,tail,Q21502404,none_expected,none_expected,[],,,,TBOX::P481::2317303689,TBOX::P481::2317303689,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
reform_Q2823688_P4529_2172698999,Q2823688,P4529,T_BOX,T_BOX,RELAXATION_SET_EXPANSION,high,TBOX_DIRECTIONAL_RELAXATION_OR_RESTRICTION,main_tbox_relaxation_set_expansion,True,False,head,Q21503250,none_expected,none_expected,[],,,,TBOX::P4529::2172698999,TBOX::P4529::2172698999,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q85404_2254631024,Q85404,P166,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,True,False,head,Q21510851,repair_target.new_value,qid,"[""Q18080431"", ""Q18080429"", ""Q18080427"", ""Q18080423"", ""Q51067"", ""...(+27)""]",external_by_elimination,,,,ABOX::Q85404::P166,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q135499226_2388908540,Q135499226,P5236,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,mid,Q21503250,repair_target.new_value,qid,"[""Q200"", ""Q203"", ""Q23350""]",unknown_selection_ambiguous,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q135499226::P5236,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q83823_2441288381,Q83823,P1454,A_BOX,TypeC,UNKNOWN_SELECTION_AMBIGUOUS,low,TypeC_UNKNOWN_SELECTION_AMBIGUOUS,diagnostic_ic_u,False,True,head,Q21510865,repair_target.new_value,qid,"[""Q3742388""]",unknown_selection_ambiguous,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q83823::P1454,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q74775133_2447346381,Q74775133,P921,A_BOX,TypeA,SELF_LINK_REJECTION,high,TypeA_SELF_LINK_REJECTION,main_ic_l_self_link_rejection,True,False,mid,Q21503250,repair_target.new_value,qid,"[""Q44275059"", ""Q54973000"", ""Q12128"", ""Q4932206"", ""Q59283400"", ""...(+1)""]",self_link_rejection,,,,ABOX::Q74775133::P921,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q15502554_2086442380,Q15502554,P3795,A_BOX,TypeA,FORMAT_NORMALIZATION,high,TypeA_FORMAT_NORMALIZATION,main_ic_l_format_normalization,True,False,head,Q19474404,repair_target.new_value,literal,"[""ARGUNI""]",format_normalization,,,,ABOX::Q15502554::P3795,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
repair_Q100537290_1295674850,Q100537290,P8726,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_LITERAL_TRUTH,main_ic_e_elim,True,False,tail,Q21502404,repair_target.new_value,literal,"[""2007/si/598/made""]",external_by_elimination,,,,ABOX::Q100537290::P8726,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,unannotated,,,
