case_id,qid,property,track,class,subtype,confidence,selection_stratum,analysis_slice,analysis_slice_precise,main_score,diagnostic_only,popularity_bucket,constraint_family,decision_constraint_type_qid,decision_constraint_type_label,decision_constraint_source,classification_rule_family,classification_rule_subfamily,truth_source,truth_token_kind,truth_tokens_preview,decision_branch,local_match_kind,local_match_source,tbox_revision_key,group_key,selected_violation_name,candidate_violation_names,mapped_report_constraint_qid,mapped_report_constraint_label,mapped_report_family,target_constraint_qid,target_constraint_label,target_constraint_selection_reason,target_constraint_selection_confidence,target_constraint_is_changed,target_constraint_is_related_family,compatible_value_overlap_with_report_qids,compatible_property_overlap_with_report_pids,compatible_language_overlap_with_report_langs,compatible_scope_overlap_with_report_values,incompatible_overlap_ignored,value_specific_without_overlap,compatible_overlap_used,compatible_overlap_reason,semantic_changed_qualifier_properties,ignored_changed_qualifier_properties,semantic_added_values,semantic_removed_values,ignored_added_values,ignored_removed_values,qualifier_filter_reason,directional_subtype_precise,set_semantics,set_operation,polarity,polarity_basis,potential_directional_subtype_precise,potential_set_semantics,potential_set_operation,potential_polarity,potential_polarity_basis,potential_directional_subtype_basis,repair_locus_correct,historical_target_well_defined,target_visible_locally,extractor_missed_local_evidence,external_evidence_required,typec_judgment,typea_judgment,typeb_judgment,tbox_judgment,core_recommendation,notes,annotator_id,annotation_timestamp_utc
repair_Q100541319_1295689984,Q100541319,P8726,A_BOX,TypeC,UNKNOWN_MULTIPLICITY_ARTIFACT,low,TypeC_UNKNOWN_MULTIPLICITY_ARTIFACT,diagnostic_ic_u,,FALSE,TRUE,tail,Q21502404,,,classifier_rule,diagnostic_unknown,unknown_multiplicity_artifact,repair_target.new_value,literal,"[""2015/si/385/made""]",unknown_multiplicity_artifact,,,,ABOX::Q100541319::P8726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,unclear,partial,not_applicable,no,unknown_or_incomplete,not_typea,not_typeb,not_tbox,diagnostic,Diagnostic multiplicity artifact: unique values are unchanged and only statement/value multiplicity changes. This should not be used as main TypeC external evidence.,chatgpt_typec_example,2026-06-02T12:00:00Z
repair_Q107062481_2423947686,Q107062481,P1560,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,,TRUE,FALSE,tail,Q21510862,,,classifier_rule,negative_rule_and_local_scan,external_by_elimination,repair_target.new_value,qid,"[""Q24716740"", ""Q24712367""]",external_by_elimination,,,,ABOX::Q107062481::P1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,no,yes,external_by_elimination_ok,not_typea,not_typeb,not_tbox,main,"External-by-elimination appears appropriate: no independent local match was recorded for the changed target [""Q24716740"", ""Q24712367""]; P1560 repair for 'Eustasia' likely needs external/domain/provenance evidence beyond the supplied local graph.",chatgpt_typec_example,2026-06-02T12:00:00Z
reform_Q11948144_P1296_1648181364,Q11948144,P1296,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,tail,Q52004125,Q21503250,subject type constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P1296::1648181364,TBOX::P1296::1648181364,Type Q|35120,"[""Type Q|35120""]",Q21503250,type constraint,type,Q21503250,type constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P4680""]",,,"[""Q29934200""]",,all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped type constraint Q21503250 exists/changed, but semantic changes are absent or only ignored metadata ([""P4680""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
reform_Q114664650_P9899_2316258676,Q114664650,P9899,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,tail,Q52004125,Q21503247,item-requires-statement constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P9899::2316258676,TBOX::P9899::2316258676,Item P|1476,"[""Item P|1476""]",Q21503247,item requires statement constraint,required_statement,Q21503247,item requires statement constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P2309"", ""P5314""]",,,"[""Q30208840""]","[""Q30208840""]",all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped required_statement constraint Q21503247 exists/changed, but semantic changes are absent or only ignored metadata ([""P2309"", ""P5314""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
reform_Q59315167_P21_2442825468,Q59315167,P21,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,head,Q52004125,Q21502838,conflicts-with constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P21::2442825468,TBOX::P21::2442825468,Conflicts with P|17,"[""Conflicts with P|17""]",Q21502838,conflicts-with constraint,conflicts_with,Q21502838,conflicts-with constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P2303""]",,,"[""Q181360""]",,all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped conflicts_with constraint Q21502838 exists/changed, but semantic changes are absent or only ignored metadata ([""P2303""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
reform_Q114835835_P9899_2316258676,Q114835835,P9899,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,tail,Q52004125,Q21503247,item-requires-statement constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P9899::2316258676,TBOX::P9899::2316258676,Item P|1476,"[""Item P|1476""]",Q21503247,item requires statement constraint,required_statement,Q21503247,item requires statement constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P2309"", ""P5314""]",,,"[""Q30208840""]","[""Q30208840""]",all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped required_statement constraint Q21503247 exists/changed, but semantic changes are absent or only ignored metadata ([""P2309"", ""P5314""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
reform_Q118802327_P175_2292837202,Q118802327,P175,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,tail,Q52004125,Q21510865,value-type constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P175::2292837202,TBOX::P175::2292837202,"Value type Q|5, Q|2088357, Q|15632617, Q|60614352, Q|215380, Q|6619719, Q|15711870, Q|15773317, Q|59755569, Q|18510489, Q|2416217, Q|15267437, Q|66481339, Q|65209857, Q|14514600, Q|12973014, Q|2393314, Q|5354754, Q|2013644, Q|26401003, Q|729, Q|1569167","[""Value type Q|5, Q|2088357, Q|15632617, Q|60614352, Q|215380, Q|6619719, Q|15711870, Q|15773317, Q|59755569, Q|18510489, Q|2416217, Q|15267437, Q|66481339, Q|65209857, Q|14514600, Q|12973014, Q|2393314, Q|5354754, Q|2013644, Q|26401003, Q|729, Q|1569167""]",Q21510865,value-type constraint,value_type,Q21510865,value-type constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P2305""]",,,"[""Q84310035""]",,all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped value_type constraint Q21510865 exists/changed, but semantic changes are absent or only ignored metadata ([""P2305""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
reform_Q25486814_P140_1858269104,Q25486814,P140,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,mid,Q21503250,Q21503250,subject type constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P140::1858269104,TBOX::P140::1858269104,"Type Q|5, Q|14897293, Q|43229, Q|27096235, Q|39614, Q|16334295, Q|4164871, Q|21029893, Q|2110808, Q|628455, Q|17524420, Q|838948, Q|21070568, Q|375011, Q|192909, Q|24334685, Q|60469796, Q|208145, Q|40953, Q|23847174, Q|8205328, Q|47848, Q|63187345, Q|2728698, Q|178885, Q|511056, Q|2627975, Q|3071477, Q|1131696, Q|189819","[""Type Q|5, Q|14897293, Q|43229, Q|27096235, Q|39614, Q|16334295, Q|4164871, Q|21029893, Q|2110808, Q|628455, Q|17524420, Q|838948, Q|21070568, Q|375011, Q|192909, Q|24334685, Q|60469796, Q|208145, Q|40953, Q|23847174, Q|8205328, Q|47848, Q|63187345, Q|2728698, Q|178885, Q|511056, Q|2627975, Q|3071477, Q|1131696, Q|189819""]",Q21503250,type constraint,type,Q21503250,type constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P4680""]",,,"[""Q29934200""]",,all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped type constraint Q21503250 exists/changed, but semantic changes are absent or only ignored metadata ([""P4680""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
reform_Q123474656_P9899_2316258676,Q123474656,P9899,T_BOX,T_BOX,UNKNOWN_TBOX_CAUSALITY,low,TBOX_UNKNOWN_TBOX_CAUSALITY,diagnostic_tbox_unknown_causality,,FALSE,TRUE,tail,Q52004125,Q21503247,item-requires-statement constraint,mapped_violation_constraint_changed,tbox_schema_causality,unknown_tbox_causality,none_expected,none_expected,[],,,,TBOX::P9899::2316258676,TBOX::P9899::2316258676,Item P|1476,"[""Item P|1476""]",Q21503247,item requires statement constraint,required_statement,Q21503247,item requires statement constraint,mapped_violation_constraint_changed,high,TRUE,FALSE,,,,,,TRUE,FALSE,no_type_compatible_overlap,,"[""P2309"", ""P5314""]",,,"[""Q30208840""]","[""Q30208840""]",all_changed_qualifiers_are_metadata_or_irrelevant_for_family,,,,,,,,,,,,unclear,unclear,unclear,not_applicable,not_applicable,not_typec,not_typea,not_typeb,coincidental_or_weak,diagnostic,"Diagnostic unknown-causality T-box case: mapped required_statement constraint Q21503247 exists/changed, but semantic changes are absent or only ignored metadata ([""P2309"", ""P5314""]), and concrete report overlap is missing.",chatgpt_tbox_example,2026-06-02T12:30:00Z
repair_Q108308406_2447220088,Q108308406,P50,A_BOX,TypeC,EXTERNAL_BY_ELIMINATION,medium,TypeC_EXTERNAL_BY_ELIMINATION_QID_TRUTH,main_ic_e_elim,,TRUE,FALSE,mid,Q52004125,,,classifier_rule,negative_rule_and_local_scan,external_by_elimination,repair_target.new_value,qid,"[""Q57413151"", ""Q26972386""]",external_by_elimination,id_exact,FOCUS_PREREPAIR_TARGET_PROPERTY_QID,,ABOX::Q108308406::P50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,no,no,yes,external_by_elimination_ok,not_typea,not_typeb,not_tbox,main,"External-by-elimination appears appropriate: no independent local match was recorded for the changed target [""Q57413151"", ""Q26972386""]; P50 repair for 'Editorial' likely needs external/domain/provenance evidence beyond the supplied local graph.",chatgpt_typec_example,2026-06-02T12:00:00Z
